 zone T = "Var            1 : IMEX",
-0.40000E+01 -0.10495E+00
-0.41000E+01 -0.10498E+00
-0.42000E+01 -0.10500E+00
-0.43000E+01 -0.10502E+00
-0.44000E+01 -0.10504E+00
-0.45000E+01 -0.10505E+00
-0.46000E+01 -0.10506E+00
-0.47000E+01 -0.10507E+00
-0.48000E+01 -0.10507E+00
-0.49000E+01 -0.10508E+00
-0.50000E+01 -0.10508E+00
-0.51000E+01 -0.10508E+00
-0.52000E+01 -0.10509E+00
-0.53000E+01 -0.10509E+00
-0.54000E+01 -0.10509E+00
-0.55000E+01 -0.10509E+00
-0.56000E+01 -0.10509E+00
-0.57000E+01 -0.10509E+00
-0.58000E+01 -0.10509E+00
-0.59000E+01 -0.10509E+00
-0.60000E+01 -0.10509E+00
-0.61000E+01 -0.10509E+00
-0.62000E+01 -0.10509E+00
-0.63000E+01 -0.10509E+00
-0.64000E+01 -0.10509E+00
-0.65000E+01 -0.10509E+00
-0.66000E+01 -0.10509E+00
-0.67000E+01 -0.10509E+00
-0.68000E+01 -0.10509E+00
-0.69000E+01 -0.10509E+00
-0.70000E+01 -0.10509E+00
-0.71000E+01 -0.10509E+00
-0.72000E+01 -0.10510E+00
-0.73000E+01 -0.10510E+00
-0.74000E+01 -0.10510E+00
-0.75000E+01 -0.10510E+00
-0.76000E+01 -0.10510E+00
-0.77000E+01 -0.10510E+00
-0.78000E+01 -0.10510E+00
-0.79000E+01 -0.10510E+00
-0.80000E+01 -0.10510E+00
 zone T = "Var            3 : Predicted",
 0.00000E+00  0.50272E+00
-0.10000E+00  0.58023E+00
-0.20000E+00  0.66098E+00
-0.30000E+00  0.74633E+00
-0.40000E+00  0.83844E+00
-0.50000E+00  0.94100E+00
-0.60000E+00  0.10610E+01
-0.70000E+00  0.12145E+01
-0.80000E+00  0.14526E+01
-0.90000E+00  0.26501E+01
-0.10000E+01  0.15005E+01
-0.11000E+01  0.13268E+01
-0.12000E+01  0.12349E+01
-0.13000E+01  0.11765E+01
-0.14000E+01  0.11364E+01
-0.15000E+01  0.11079E+01
-0.16000E+01  0.10873E+01
-0.17000E+01  0.10723E+01
-0.18000E+01  0.10615E+01
-0.19000E+01  0.10535E+01
-0.20000E+01  0.10477E+01
-0.21000E+01  0.10434E+01
-0.22000E+01  0.10402E+01
-0.23000E+01  0.10378E+01
-0.24000E+01  0.10360E+01
-0.25000E+01  0.10345E+01
-0.26000E+01  0.10334E+01
-0.27000E+01  0.10326E+01
-0.28000E+01  0.10319E+01
-0.29000E+01  0.10314E+01
-0.30000E+01  0.10311E+01
-0.31000E+01  0.10308E+01
-0.32000E+01  0.10305E+01
-0.33000E+01  0.10303E+01
-0.34000E+01  0.10302E+01
-0.35000E+01  0.10301E+01
-0.36000E+01  0.10300E+01
-0.37000E+01  0.10299E+01
-0.38000E+01  0.10299E+01
-0.39000E+01  0.10298E+01
-0.40000E+01  0.10298E+01
-0.41000E+01  0.10298E+01
-0.42000E+01  0.10297E+01
-0.43000E+01  0.10297E+01
-0.44000E+01  0.10297E+01
-0.45000E+01  0.10297E+01
-0.46000E+01  0.10297E+01
-0.47000E+01  0.10297E+01
-0.48000E+01  0.10297E+01
-0.49000E+01  0.10297E+01
-0.50000E+01  0.10297E+01
-0.51000E+01  0.10297E+01
-0.52000E+01  0.10297E+01
-0.53000E+01  0.10297E+01
-0.54000E+01  0.10297E+01
-0.55000E+01  0.10297E+01
-0.56000E+01  0.10297E+01
-0.57000E+01  0.10297E+01
-0.58000E+01  0.10297E+01
-0.59000E+01  0.10297E+01
-0.60000E+01  0.10297E+01
-0.61000E+01  0.10297E+01
-0.62000E+01  0.10297E+01
-0.63000E+01  0.10297E+01
-0.64000E+01  0.10297E+01
-0.65000E+01  0.10297E+01
-0.66000E+01  0.10297E+01
-0.67000E+01  0.10297E+01
-0.68000E+01  0.10297E+01
-0.69000E+01  0.10297E+01
-0.70000E+01  0.10297E+01
-0.71000E+01  0.10297E+01
-0.72000E+01  0.10297E+01
-0.73000E+01  0.10297E+01
-0.74000E+01  0.10297E+01
-0.75000E+01  0.10297E+01
-0.76000E+01  0.10297E+01
-0.77000E+01  0.10297E+01
-0.78000E+01  0.10297E+01
-0.79000E+01  0.10297E+01
-0.80000E+01  0.10297E+01
 zone T = "Var            4 : IMEX",
 0.00000E+00 -0.19098E+00
-0.10000E+00 -0.14268E+00
-0.20000E+00 -0.97965E-01
-0.30000E+00 -0.57190E-01
-0.40000E+00 -0.20666E-01
-0.50000E+00  0.11392E-01
-0.60000E+00  0.38880E-01
-0.70000E+00  0.61830E-01
-0.80000E+00  0.80414E-01
-0.90000E+00  0.94936E-01
-0.10000E+01  0.10582E+00
-0.11000E+01  0.11358E+00
-0.12000E+01  0.11876E+00
-0.13000E+01  0.12194E+00
-0.14000E+01  0.12361E+00
-0.15000E+01  0.12424E+00
-0.16000E+01  0.12420E+00
-0.17000E+01  0.12375E+00
-0.18000E+01  0.12309E+00
-0.19000E+01  0.12235E+00
-0.20000E+01  0.12161E+00
-0.21000E+01  0.12091E+00
-0.22000E+01  0.12028E+00
