 zone T = "Var            1 : IMPLICIT",
-0.41000E+01  0.57391E-01
-0.42000E+01  0.54194E-01
-0.43000E+01  0.51635E-01
-0.44000E+01  0.49589E-01
-0.45000E+01  0.47956E-01
-0.46000E+01  0.46653E-01
-0.47000E+01  0.45615E-01
-0.48000E+01  0.44788E-01
-0.49000E+01  0.44130E-01
-0.50000E+01  0.43607E-01
-0.51000E+01  0.43190E-01
-0.52000E+01  0.42859E-01
-0.53000E+01  0.42596E-01
-0.54000E+01  0.42386E-01
-0.55000E+01  0.42220E-01
-0.56000E+01  0.42088E-01
-0.57000E+01  0.41983E-01
-0.58000E+01  0.41900E-01
-0.59000E+01  0.41833E-01
-0.60000E+01  0.41781E-01
-0.61000E+01  0.41739E-01
-0.62000E+01  0.41706E-01
-0.63000E+01  0.41679E-01
-0.64000E+01  0.41658E-01
-0.65000E+01  0.41642E-01
-0.66000E+01  0.41628E-01
-0.67000E+01  0.41618E-01
-0.68000E+01  0.41609E-01
-0.69000E+01  0.41603E-01
-0.70000E+01  0.41598E-01
-0.71000E+01  0.41593E-01
-0.72000E+01  0.41590E-01
-0.73000E+01  0.41587E-01
-0.74000E+01  0.41585E-01
-0.75000E+01  0.41584E-01
-0.76000E+01  0.41582E-01
-0.77000E+01  0.41581E-01
-0.78000E+01  0.41580E-01
-0.79000E+01  0.41580E-01
-0.80000E+01  0.41579E-01
 zone T = "Var            5 : IMPLICIT",
 0.00000E+00  0.43318E+01
-0.10000E+00  0.40632E+01
-0.20000E+00  0.38565E+01
-0.30000E+00  0.36924E+01
-0.40000E+00  0.35674E+01
-0.50000E+00  0.34690E+01
-0.60000E+00  0.33519E+01
-0.70000E+00  0.31845E+01
-0.80000E+00  0.30203E+01
-0.90000E+00  0.29103E+01
-0.10000E+01  0.28714E+01
-0.11000E+01  0.29113E+01
-0.12000E+01  0.30400E+01
-0.13000E+01  0.32733E+01
-0.14000E+01  0.36333E+01
-0.15000E+01  0.41477E+01
-0.16000E+01  0.48451E+01
-0.17000E+01  0.57344E+01
-0.18000E+01  0.67090E+01
-0.19000E+01  0.62720E+01
-0.20000E+01  0.54682E+01
-0.21000E+01  0.48739E+01
-0.22000E+01  0.43328E+01
-0.23000E+01  0.36212E+01
-0.24000E+01  0.31349E+01
-0.25000E+01  0.26697E+01
-0.26000E+01  0.22401E+01
-0.27000E+01  0.18992E+01
-0.28000E+01  0.16454E+01
-0.29000E+01  0.14596E+01
-0.30000E+01  0.13230E+01
-0.31000E+01  0.12211E+01
-0.32000E+01  0.11450E+01
-0.33000E+01  0.10886E+01
-0.34000E+01  0.10475E+01
-0.35000E+01  0.10182E+01
-0.36000E+01  0.99750E+00
-0.37000E+01  0.98324E+00
-0.38000E+01  0.97359E+00
-0.39000E+01  0.96720E+00
-0.40000E+01  0.96308E+00
-0.41000E+01  0.96049E+00
-0.42000E+01  0.95893E+00
-0.43000E+01  0.95803E+00
-0.44000E+01  0.95755E+00
-0.45000E+01  0.95733E+00
-0.46000E+01  0.95727E+00
-0.47000E+01  0.95728E+00
-0.48000E+01  0.95734E+00
-0.49000E+01  0.95742E+00
-0.50000E+01  0.95750E+00
-0.51000E+01  0.95758E+00
-0.52000E+01  0.95765E+00
-0.53000E+01  0.95770E+00
-0.54000E+01  0.95776E+00
-0.55000E+01  0.95780E+00
-0.56000E+01  0.95783E+00
-0.57000E+01  0.95786E+00
-0.58000E+01  0.95788E+00
-0.59000E+01  0.95790E+00
-0.60000E+01  0.95792E+00
-0.61000E+01  0.95793E+00
-0.62000E+01  0.95794E+00
-0.63000E+01  0.95795E+00
-0.64000E+01  0.95795E+00
-0.65000E+01  0.95796E+00
-0.66000E+01  0.95796E+00
-0.67000E+01  0.95797E+00
-0.68000E+01  0.95797E+00
-0.69000E+01  0.95797E+00
-0.70000E+01  0.95797E+00
-0.71000E+01  0.95797E+00
-0.72000E+01  0.95798E+00
-0.73000E+01  0.95798E+00
-0.74000E+01  0.95798E+00
-0.75000E+01  0.95798E+00
-0.76000E+01  0.95798E+00
-0.77000E+01  0.95798E+00
-0.78000E+01  0.95798E+00
-0.79000E+01  0.95798E+00
-0.80000E+01  0.95798E+00
 zone T = "Var            5 : Predicted",
 0.00000E+00  0.18235E+01
-0.10000E+00  0.16915E+01
-0.20000E+00  0.15636E+01
-0.30000E+00  0.14418E+01
-0.40000E+00  0.13286E+01
-0.50000E+00  0.12265E+01
-0.60000E+00  0.11380E+01
-0.70000E+00  0.10639E+01
-0.80000E+00  0.10029E+01
-0.90000E+00  0.95227E+00
-0.10000E+01  0.90878E+00
-0.11000E+01  0.87070E+00
-0.12000E+01  0.83840E+00
-0.13000E+01  0.81409E+00
-0.14000E+01  0.80129E+00
-0.15000E+01  0.80414E+00
-0.16000E+01  0.82555E+00
-0.17000E+01  0.86248E+00
-0.18000E+01  0.90039E+00
-0.19000E+01  0.92279E+00
-0.20000E+01  0.94744E+00
-0.21000E+01  0.10067E+01
-0.22000E+01  0.97649E+00
-0.23000E+01  0.67923E+00
-0.24000E+01  0.50699E+00
-0.25000E+01  0.38125E+00
-0.26000E+01  0.28536E+00
-0.27000E+01  0.21226E+00
-0.28000E+01  0.15702E+00
-0.29000E+01  0.11534E+00
-0.30000E+01  0.83542E-01
-0.31000E+01  0.58836E-01
-0.32000E+01  0.39280E-01
-0.33000E+01  0.23616E-01
-0.34000E+01  0.11015E-01
-0.35000E+01  0.88337E-03
-0.36000E+01 -0.72483E-02
-0.37000E+01 -0.13871E-01
-0.38000E+01 -0.19255E-01
-0.39000E+01 -0.23572E-01
-0.40000E+01 -0.27028E-01
-0.41000E+01 -0.29790E-01
-0.42000E+01 -0.31996E-01
-0.43000E+01 -0.33755E-01
-0.44000E+01 -0.35157E-01
-0.45000E+01 -0.36273E-01
-0.46000E+01 -0.37162E-01
-0.47000E+01 -0.37869E-01
-0.48000E+01 -0.38432E-01
-0.49000E+01 -0.38879E-01
-0.50000E+01 -0.39235E-01
-0.51000E+01 -0.39517E-01
-0.52000E+01 -0.39742E-01
-0.53000E+01 -0.39920E-01
-0.54000E+01 -0.40062E-01
-0.55000E+01 -0.40175E-01
-0.56000E+01 -0.40265E-01
-0.57000E+01 -0.40336E-01
-0.58000E+01 -0.40392E-01
-0.59000E+01 -0.40437E-01
-0.60000E+01 -0.40473E-01
-0.61000E+01 -0.40501E-01
-0.62000E+01 -0.40524E-01
-0.63000E+01 -0.40542E-01
-0.64000E+01 -0.40556E-01
-0.65000E+01 -0.40567E-01
-0.66000E+01 -0.40576E-01
-0.67000E+01 -0.40583E-01
-0.68000E+01 -0.40589E-01
-0.69000E+01 -0.40593E-01
-0.70000E+01 -0.40597E-01
-0.71000E+01 -0.40600E-01
-0.72000E+01 -0.40602E-01
-0.73000E+01 -0.40604E-01
-0.74000E+01 -0.40605E-01
-0.75000E+01 -0.40606E-01
-0.76000E+01 -0.40607E-01
-0.77000E+01 -0.40608E-01
